"Story","Title","Result","Date","Stability","Duration (s)"
"Validate email address of comments from posts","Verify emails On Comments of posts for user Delphine are valid","SUCCESS","2020-09-01T03:50:22.7050229+02:00[Europe/Berlin]","0.0","5.48"
"Validate email address of comments from posts","Verify emails on All comments are valid","SUCCESS","2020-09-01T03:50:28.1853217+02:00[Europe/Berlin]","0.0","0.29"
"Validate email address of comments from posts","verify comments are displayed correctly","SKIPPED","2020-09-01T03:50:28.4795363+02:00[Europe/Berlin]","0.0","0.2"
"Verify all routes of comment API are working as expected","Verify all routes of comments are working as expected","SUCCESS","2020-09-01T03:50:28.6819932+02:00[Europe/Berlin]","0.0","0.5"
"Verify all routes of comment API are working as expected","Data retrieved from nested rotes and direct routes is same","SUCCESS","2020-09-01T03:50:29.1861083+02:00[Europe/Berlin]","0.0","0.27"
"Verify all routes of comment API are working as expected","Verify Empty list is retrieved when comments is not found","PENDING","2020-09-01T03:50:29.4613733+02:00[Europe/Berlin]","0.0","0.01"
"Verify all routes of post API are working as expected","Verify all routes of post are working as expected","SUCCESS","2020-09-01T03:50:29.4773293+02:00[Europe/Berlin]","0.0","0.37"
"Verify all routes of post API are working as expected","Data retrieved from nested rotes and direct routes is same","SUCCESS","2020-09-01T03:50:29.8506527+02:00[Europe/Berlin]","0.0","0.19"
"Verify all routes of post API are working as expected","Verify Empty list is retrieved when user is not found","PENDING","2020-09-01T03:50:30.0461304+02:00[Europe/Berlin]","0.0","0.01"
"Verify all routes of user are working as expected","Verify all routes of user are working as expected","SUCCESS","2020-09-01T03:50:30.057101+02:00[Europe/Berlin]","0.0","0.33"
"Verify all routes of user are working as expected","Verify Empty list is retrieved when user is not found","PENDING","2020-09-01T03:50:30.388067+02:00[Europe/Berlin]","0.0","0.01"
